customer_id,name,email,join_date,country,loyalty_points
112,Luis Valdez,stephen87@miller-williams.biz,2021-12-26,Antarctica (the territory South of 60 deg S),9618
113,Anna Serrano,stephanie70@gmail.com,2024-02-25,Nigeria,5493
114,Toni Smith,sheryldominguez@gmail.com,2021-03-29,Slovakia (Slovak Republic),3119
115,Margaret Sanchez,webbpamela@hotmail.com,2023-02-21,Aruba,3981
116,Mark Murphy,jeremy67@walter-taylor.org,2019-11-14,Central African Republic,265
117,Abigail Price,andrewholloway@smith.org,2021-01-04,Slovakia (Slovak Republic),4440
118,Richard French,rbradley@yahoo.com,2021-11-12,Uzbekistan,1919
119,Jordan Ferguson,rickyhopkins@reynolds.com,2023-10-06,Hong Kong,3612
120,James Brewer,houstonwhitney@hotmail.com,2022-12-02,Mauritania,6095
121,Logan Wells,billy56@rodriguez.biz,2019-12-26,Seychelles,2793
122,Seth Long,kmunoz@peterson.com,2022-03-03,Serbia,5448
123,Taylor Reed,wmccoy@gmail.com,2021-06-02,Turkey,6981
124,Cassandra Silva,swalters@hotmail.com,2023-06-04,Antigua and Barbuda,1018
125,Debra Luna,davidaustin@gmail.com,2020-01-09,Jersey,1648
126,Julie May,jgardner@jackson.com,2021-09-12,Antarctica (the territory South of 60 deg S),2397
127,Sabrina Kelly,gabrielle64@gmail.com,2022-09-02,Nigeria,3584
128,Evelyn Neal,jimmy65@yahoo.com,2023-10-07,Madagascar,741
129,Jason Sullivan,dylansilva@bush.com,2024-02-15,Bouvet Island (Bouvetoya),9402
130,Nicholas Jackson,smithpatricia@castillo.org,2021-11-30,Papua New Guinea,8752
131,Dr. Thomas Hoffman,anthonyday@johns.biz,2021-07-11,Kazakhstan,9865
132,Jennifer Smith,cjackson@brown.org,2023-03-15,Grenada,1212
133,Shane Williams,marissa78@long.com,2021-02-10,Gabon,437
134,Sandra Thomas,mendozaashlee@hawkins-baker.com,2020-09-12,French Polynesia,2038
135,Robert Taylor,brendagonzalez@atkins.org,2023-12-05,Rwanda,3088
136,Tara Hansen,jenningsjohn@yahoo.com,2022-05-28,Falkland Islands (Malvinas),9934
137,Jon Arroyo,jonesashley@gmail.com,2022-11-18,Hong Kong,9436
138,Brianna Roberts,ykeller@campbell-salazar.com,2023-03-03,Guinea,1961
139,Kaitlin Douglas,ryan56@hotmail.com,2022-03-01,Tonga,6409
140,Steven Martinez,sarah25@perez-becker.biz,2023-09-17,Malawi,1499
141,Timothy Duarte,fshaw@edwards.com,2020-07-15,Latvia,6064
142,Steven Perez,johnstonbilly@gmail.com,2021-12-30,Cook Islands,1901
143,Cassandra White,hallbradley@yahoo.com,2024-04-20,Albania,596
144,Roberto Obrien,figueroajames@meyer.biz,2020-04-28,Martinique,9920
145,David Hebert,baguirre@gmail.com,2022-12-31,Serbia,354
146,Troy Johnson,margaret72@hotmail.com,2024-02-26,Bermuda,3188
147,Brian Garcia,christinehopkins@clark-daugherty.com,2021-06-21,Italy,3030
148,Barbara Garcia,hicksseth@gmail.com,2023-08-17,Mayotte,2029
149,Jason Bennett,shawnbell@yahoo.com,2019-12-17,Kiribati,7851
150,Abigail Sullivan,rubenking@yahoo.com,2020-12-15,Denmark,3450
151,Ian Tucker,lopezsarah@nunez.com,2022-08-08,Trinidad and Tobago,1000
152,Caitlyn Yoder,robertlee@yahoo.com,2020-02-27,Solomon Islands,373
153,Patricia Morgan,isaac89@hamilton.org,2021-07-27,Nepal,8916
154,David Stein,aaronbrown@gmail.com,2023-07-12,Tunisia,6973
155,Courtney Cohen,nicole57@hotmail.com,2021-05-22,Central African Republic,1662
156,Ryan Robbins,ubranch@yahoo.com,2020-04-30,Cameroon,4258
157,Brian Moore,nzimmerman@yahoo.com,2020-02-25,Angola,1146
158,Brandon Gutierrez,cynthiayu@hotmail.com,2020-11-30,Malta,3618
159,Katherine James,jacobsjessica@harris.com,2022-05-30,Belize,1179
160,Pamela Allen,eric41@west.biz,2023-01-09,Samoa,4932
161,Gina Holloway,williamsleslie@hotmail.com,2024-07-19,Libyan Arab Jamahiriya,5739
162,Willie Mendoza,bdaniel@gmail.com,2023-06-14,Netherlands,7144
163,Tonya Gill,thorntonjohn@nelson.com,2021-05-14,Samoa,2954
164,Kimberly Morgan,rebeccaweiss@roy.com,2024-07-12,Israel,1000
165,Norma King,callahanbrenda@johnson-pittman.com,2022-09-17,Bhutan,8251
166,Michelle Cowan,sharris@gonzales.com,2024-05-30,Timor-Leste,7653
167,John Edwards,ann01@weiss.com,2020-01-21,Belize,645
168,Ebony Wilson,williamreed@yahoo.com,2020-07-06,Israel,9772
169,Sandra Martinez,grant36@hotmail.com,2022-03-12,Antigua and Barbuda,1653
170,Adam Singleton,logan84@logan.net,2020-12-12,Eritrea,6410
171,Rachel Barnes,stephanie87@erickson-henderson.com,2024-03-08,Austria,3266
172,Robert Reyes,parkermadison@horne.com,2024-03-23,Isle of Man,4262
173,David Campbell,druiz@gmail.com,2024-03-19,Guinea-Bissau,5874
174,Chris Lindsey,andreawright@white.biz,2021-02-02,Ecuador,7704
175,Betty Whitaker,alexandriaschroeder@harmon.com,2020-04-14,Isle of Man,9335
176,Jonathan Lewis,martinezchristopher@gmail.com,2020-06-13,Algeria,2775
177,Victoria Reese,traci56@yahoo.com,2020-05-29,Uganda,3332
178,Laurie Yang,dixoncarl@wright-mckinney.com,2024-02-03,French Guiana,951
179,Charles Estrada,warren42@gmail.com,2023-11-01,Sri Lanka,2592
180,Sandra Gonzalez,thomas72@yahoo.com,2022-04-10,Wallis and Futuna,2653
181,Susan Bailey,sriley@hotmail.com,2022-04-16,Peru,5608
182,Krystal Young,josephjackson@gmail.com,2024-02-27,Saudi Arabia,8674
183,Paula Hunter,jonathon47@hotmail.com,2024-03-27,Austria,4107
184,Cheyenne Scott,harrisdakota@werner-harding.com,2021-04-30,Nicaragua,1920
185,Vincent Ward,craigdiane@gmail.com,2021-03-07,Switzerland,9777
186,Tonya Young,michele19@yahoo.com,2020-09-26,Reunion,7246
187,Christopher Wheeler,joanna63@yahoo.com,2021-04-29,South Africa,2864
188,Matthew Carr,rebeccabrown@hotmail.com,2020-01-09,Oman,216
189,Tara Shaw,martin93@hotmail.com,2020-04-11,Guadeloupe,7727
190,Emily Whitney,mrowland@yahoo.com,2022-01-18,Ukraine,6715
191,Judy Fischer,angelica69@fisher-moore.biz,2020-10-30,Poland,9324
192,Teresa Cobb,julieolson@daniel.com,2020-09-11,Norfolk Island,8332
193,Roger Pham,franklinterri@beasley.biz,2023-11-07,Turks and Caicos Islands,5102
194,Mark Taylor,brandongutierrez@gmail.com,2020-02-27,Nepal,5851
195,Brandi Simon,isullivan@gmail.com,2023-07-19,Turkey,6367
196,Kristina Winters,mariahray@adams-lewis.com,2020-03-12,Mali,4111
197,Andrea Smith,kendrawall@hotmail.com,2020-11-25,Wallis and Futuna,2513
198,Tiffany Smith DVM,beth11@clark-hayes.info,2023-10-04,Martinique,9184
199,Angela Gonzales,harnold@gmail.com,2021-08-15,Cambodia,203
200,Sandra Dixon,thomasaustin@cunningham.org,2022-05-01,Guinea,7503
201,Sheila Woods,ohunt@hotmail.com,2020-01-28,Saint Kitts and Nevis,1295
202,William Peterson,autumnalvarez@graham-montgomery.net,2019-12-18,Malaysia,5503
203,Vanessa Hudson,hector47@avila-khan.biz,2019-10-08,Sudan,748
204,Cynthia Pena,sandrajuarez@yahoo.com,2024-03-24,Palestinian Territory,8918
205,Mrs. Janice Roberts DVM,robinmann@hotmail.com,2021-03-25,New Caledonia,4601
206,Kenneth Good,xmyers@phillips-lewis.com,2024-04-26,Myanmar,2209
207,Stacey Dunlap,claire25@thomas.net,2021-03-24,Martinique,3934
208,Linda English,lharris@hotmail.com,2022-10-20,Netherlands Antilles,7894
209,Robert Fernandez,peter83@anthony-stewart.com,2020-02-15,Congo,5770
210,Lindsey Martin,kingkeith@yahoo.com,2023-04-30,Suriname,9996
211,Michael Mcconnell,boyerdarin@gmail.com,2022-08-08,Cayman Islands,4716
212,Lisa Hansen,efarrell@yahoo.com,2021-08-18,Yemen,5885
213,Molly Cowan,bondbrandi@sosa-velasquez.com,2024-07-19,Dominica,9671
214,Richard Colon,cabreramonica@hotmail.com,2020-11-05,Sierra Leone,2168
215,Terri Nielsen,kenneth29@taylor.com,2023-12-23,Solomon Islands,5083
216,Nicholas Nelson,rachelbeck@gonzalez.com,2022-09-29,Martinique,6357
217,Megan Campos,roachholly@hotmail.com,2022-02-17,Somalia,6789
218,Connie Shannon,barnesdustin@williams.com,2023-08-22,Ghana,1322
219,Jessica Shepard,craighenry@yahoo.com,2024-05-03,Myanmar,24
220,Claudia Tran,nicholasfinley@davis.info,2020-12-24,Jamaica,9741
221,Nicholas Lee,bakerterri@hunt-cooper.biz,2023-01-08,Mayotte,3150
222,Michael Weaver,torresscott@hinton.com,2020-08-02,Martinique,5478
223,Jonathon Owens,harrisjohn@gray.com,2024-03-24,Congo,2622
224,Brandon Middleton,cassandrapierce@fowler.com,2023-10-07,Northern Mariana Islands,3922
225,Rachel Bell,villegasscott@fleming.info,2023-10-08,Bermuda,3655
226,Sara Roberts,natalie19@gmail.com,2023-12-24,Heard Island and McDonald Islands,7342
227,Martha Hall,pdorsey@washington.net,2022-11-27,Saint Vincent and the Grenadines,6203
228,Ashley Morris,rebecca33@boyd-coleman.biz,2023-02-11,Argentina,9308
229,Billy Soto,mariaburns@richards.biz,2022-01-03,Saint Vincent and the Grenadines,6789
230,Todd Taylor,maryevans@yahoo.com,2024-08-17,Belize,516
231,Maria Garcia,abigailjohnson@hotmail.com,2020-06-28,Lao People's Democratic Republic,6590
232,Nancy Scott,johnmartinez@hotmail.com,2024-02-28,Cayman Islands,9297
233,Marie Burton,douglasburke@lin.org,2021-04-06,Bangladesh,6852
234,Brandon Dean,tbraun@gmail.com,2020-12-16,Sweden,766
235,Amy Cook,swhitehead@hotmail.com,2021-10-24,Croatia,2714
236,Leslie Thomas,aflores@fisher-stone.com,2022-07-31,Saint Barthelemy,7296
237,Kim Price,cody43@green.com,2023-08-01,Anguilla,1046
238,Mason Williams,kmcdonald@hotmail.com,2024-02-27,Congo,4247
239,Adam Rodriguez,james74@hotmail.com,2023-03-12,Bulgaria,2583
240,Debra Russo,matthewerickson@sandoval.com,2022-07-02,Niger,7313
241,Cheryl Jenkins,wrightkathleen@alexander-mcdaniel.com,2023-05-24,Thailand,8643
242,Jacob Garcia,aanderson@trevino.biz,2020-07-30,Italy,7983
243,Ryan Burke,alison85@gmail.com,2020-12-25,Afghanistan,9198
244,Paul Chavez,nicholascaldwell@green-jackson.info,2023-02-28,American Samoa,9895
245,Brian Hardy,masonkevin@gmail.com,2020-08-17,Mauritius,1
246,Natalie Sanchez,seanmartin@strong-benson.info,2024-08-11,Anguilla,637
247,Alexis Martinez,mccoypatrick@yahoo.com,2023-01-08,Denmark,8103
248,Kristopher Castro,ronalddrake@hotmail.com,2023-05-03,Yemen,5340
249,Diane Palmer,tgilmore@yahoo.com,2022-09-08,Faroe Islands,5112
250,Charlotte Walker,dawn57@hotmail.com,2022-03-11,Peru,7649
251,William Stevens,lisabean@rivera.info,2023-07-04,Heard Island and McDonald Islands,816
252,Keith Jones,ballheather@sullivan.com,2024-05-21,Lesotho,6801
253,Grace Melendez,marie67@palmer.com,2022-09-13,Hong Kong,3080
254,Jane Newman,todd68@burton.com,2023-11-19,Cape Verde,8987
255,Roger Hardin,terry54@yahoo.com,2024-09-27,Oman,1367
256,Hannah Coleman,cameron35@gmail.com,2022-12-17,Anguilla,2138
257,Brittney Underwood,parsonsgregory@hotmail.com,2020-01-11,Denmark,241
258,Cassidy Pena,zwhite@yahoo.com,2022-05-28,Marshall Islands,6583
259,John Huang,wellsjessica@yates.com,2022-07-30,Senegal,6840
260,Anthony Curtis,sarahgibson@yahoo.com,2024-06-02,Vanuatu,5180
261,Shawn Coleman,woodkenneth@smith.com,2021-01-30,Tunisia,55
262,Caroline Banks,mezaann@jones.org,2020-09-27,Cook Islands,3498
263,Taylor Reynolds,crobbins@acosta.com,2023-05-07,Madagascar,234
264,Mark Mullen,danielvirginia@rice-nguyen.org,2024-05-28,India,38
265,Dana Steele,xhorn@campbell.com,2019-10-07,Cambodia,8656
266,Michael Clark,darrellburns@estrada-hill.com,2020-12-08,Tunisia,1602
267,Thomas Bell,triciadavis@yahoo.com,2020-12-26,Niue,3120
268,Collin Wilson,lauren14@grant-johnson.com,2021-09-22,India,1948
269,Peter Medina,brandon41@wong-smith.com,2021-09-07,Palau,9967
270,Tara Valencia DDS,sara81@gmail.com,2023-12-27,Cook Islands,3252
271,Lisa Jones,scottanthony@hotmail.com,2021-02-08,Greenland,4954
272,Jared Aguilar,daykaren@gibson.info,2022-08-09,Swaziland,4587
273,Bruce Conner,jacob36@hotmail.com,2019-11-18,Papua New Guinea,2985
274,Chelsea Goodman,rmartin@yahoo.com,2022-12-31,Kenya,1641
275,Nancy Day,bryan29@turner.com,2020-08-05,Cape Verde,7792
276,James Boyd,amanda67@yahoo.com,2020-10-10,El Salvador,6499
277,Dawn Griffith,porterdebbie@hotmail.com,2021-06-25,Jamaica,1332
278,Matthew Russell,perrychristopher@marquez-johnson.info,2023-01-27,Yemen,357
279,Kirsten Warren,lindafischer@hotmail.com,2022-10-13,Cote d'Ivoire,4500
280,Austin Davis,tonyacrawford@yahoo.com,2021-01-26,Liechtenstein,7421
281,Sarah Henry,wardwilliam@li-santos.org,2020-07-28,Gambia,1896
282,Kathy Thomas,bradleyburns@gmail.com,2024-08-20,Mali,4202
283,Mark Hart,turnersamantha@yahoo.com,2022-11-28,Armenia,2185
284,Stephen Weber,diane95@townsend.info,2023-03-15,Iraq,8533
285,Anna Bond,ycaldwell@gmail.com,2023-05-29,Sudan,5686
286,Jeff Wise,pachecosteven@yahoo.com,2022-03-27,South Georgia and the South Sandwich Islands,1885
287,Gwendolyn Martin,linda72@herrera.info,2022-06-18,China,2530
288,Eugene Nelson,rodriguezmarc@yahoo.com,2022-05-23,Grenada,4561
289,Sharon Lopez,geoffreygrant@yahoo.com,2021-10-20,Belgium,304
290,Stephanie Mosley,graychristopher@washington-taylor.com,2020-03-31,Uruguay,693
291,Mark Conley,christopher91@castaneda.biz,2021-03-21,Malta,666
292,Derek Morgan,lgreen@bryan.com,2024-03-06,Svalbard & Jan Mayen Islands,3370
293,Heather Fitzgerald,zachary47@taylor.info,2021-09-05,Vanuatu,4254
294,Calvin Duran,wardjeffrey@yahoo.com,2020-11-23,Cook Islands,9148
295,Joshua Keller,qvalenzuela@yahoo.com,2022-04-10,Andorra,5156
296,Lisa White,collinsgordon@gibson.net,2024-07-17,Mauritius,6011
297,Jamie Barnes,yolandabraun@gmail.com,2024-03-05,Saint Helena,9297
298,Allison Rodgers,millermelissa@hubbard.com,2022-06-27,United States of America,688
299,Cory Brown,jessicajacobson@moses-downs.net,2022-11-20,Ukraine,9954
300,James Williams,blackwelljoann@hernandez-harris.org,2020-11-08,Venezuela,8101
301,Rachel Christensen,apeterson@yahoo.com,2022-07-24,Sudan,7514
302,Sergio Wallace,zlambert@yahoo.com,2019-11-17,Croatia,7134
303,Michelle Mullins,rstevenson@gmail.com,2021-04-11,Lesotho,6102
304,Willie Weber,boothjoseph@martin.com,2023-11-07,Vietnam,8813
305,Warren Wilson,warnervirginia@sharp.com,2024-07-18,Cote d'Ivoire,2921
306,Holly Davis,matthewmacdonald@gmail.com,2021-08-29,Serbia,3405
307,Jill Mitchell,glarsen@mckee.com,2022-02-06,Somalia,6153
308,Caroline Benitez,websterrandy@gmail.com,2021-05-11,Guam,9619
309,David Rivera,murphytimothy@yahoo.com,2022-04-13,Ecuador,4768
310,Miguel Cooper,castrosherry@conner.com,2020-12-15,Saint Pierre and Miquelon,145
311,Latoya Frazier,moodylori@yahoo.com,2023-09-27,Finland,2268
312,Scott Lamb,andersonlori@yahoo.com,2022-04-16,Netherlands,2474
313,Robert Smith,robertjohnson@gmail.com,2024-09-01,Sri Lanka,4446
314,Angela Hancock,rebeccaunderwood@yahoo.com,2020-11-17,Puerto Rico,5462
315,Heather Garza,allenjames@cordova.biz,2022-07-24,Estonia,5529
316,David Kerr,morgan63@mcgee.biz,2022-08-15,Croatia,6016
317,Kristine Carter,jessicacampbell@gomez.com,2022-04-28,Sudan,1535
318,Zachary Carey,estradarebecca@gmail.com,2021-05-03,Vanuatu,5541
319,Blake Rhodes,robinsonjulia@moran.com,2020-03-02,Tunisia,584
320,Paula Lewis,pjones@wheeler.info,2021-06-14,Maldives,675
321,Patrick Bradley,meghan09@rios-kline.com,2024-09-11,Gabon,4417
322,Jason Jones,lori49@gmail.com,2022-10-01,Argentina,2684
323,Sara Harper,reynoldslori@hotmail.com,2023-09-17,French Polynesia,2448
324,Casey Berry,barnettlauren@long.com,2021-08-17,Pakistan,9559
325,Amanda Williams,george60@hotmail.com,2022-06-20,Niue,4743
326,Curtis Palmer,ericaperry@hotmail.com,2020-02-29,Taiwan,5913
327,Gina Luna,austinwilson@rivera-torres.com,2021-04-16,Montserrat,6468
328,Desiree Landry,ymartin@ortiz.com,2024-07-09,Niue,8986
329,Marcus Cervantes,jasonross@armstrong.net,2020-09-12,Cape Verde,2124
330,Elizabeth Flores,amyscott@taylor-robertson.info,2022-01-20,Slovakia (Slovak Republic),4807
331,Timothy Brown,james14@watson-carter.com,2020-09-02,Guinea-Bissau,1882
332,Thomas Hall,ginamartinez@ortega-cordova.com,2023-01-29,Anguilla,7832
333,Maureen Nichols,linda38@doyle-roach.com,2024-01-04,Jamaica,3927
334,Heather Hernandez,jessica42@lam-wright.net,2024-09-09,Portugal,790
335,John Lee,sarah12@yahoo.com,2022-09-29,Macedonia,5044
336,Timothy Murray,lorraine47@gmail.com,2022-03-02,Aruba,2942
337,Robert Ford,hinesmisty@carter.biz,2024-09-19,French Polynesia,8569
338,Dr. Kylie Powell,jeremy32@hotmail.com,2020-09-04,Zambia,1161
339,Larry Phillips,ryanhernandez@hotmail.com,2021-05-06,Guam,4958
340,Matthew Johnson,palmercatherine@garcia.net,2020-08-21,Saint Pierre and Miquelon,6605
341,Kelly Wolfe,matthew91@gmail.com,2020-02-09,Norfolk Island,5382
342,Deanna Page,jorge17@johnson.info,2022-02-23,Serbia,4902
343,Jeremy Cooper,lisacross@yahoo.com,2022-12-12,Cook Islands,6794
344,Vincent Carpenter,bleon@hotmail.com,2020-10-07,Germany,1780
345,Charles Conley,tamara53@miller.com,2019-12-07,Bahrain,1628
346,Mark James,asmith@armstrong.com,2020-07-15,Heard Island and McDonald Islands,9188
347,Mary Hancock,larry58@yahoo.com,2023-12-26,Vanuatu,7883
348,Samantha Rowe,joycemccarty@taylor.org,2024-07-07,Bermuda,7766
349,Molly Mendez,vfoster@hotmail.com,2024-03-19,Nigeria,5522
350,Emma Boyd,angela69@todd.biz,2021-12-31,Micronesia,5630
351,Nancy Nicholson,shannon19@yahoo.com,2022-07-02,Portugal,2036
352,Jeffrey Peterson,randallwendy@wall-garcia.com,2024-08-11,Peru,7849
353,Taylor Smith,qrodriguez@gmail.com,2024-01-03,Saint Vincent and the Grenadines,1900
